battery,exec_timestamp,planning_timestamp,task
100,1585562464433,1585562403250,"dummy"
100,1585562525153,1585562464142,"dummy"
100,1585562586898,1585562525082,"dummy"
100,1585562646887,1585562586816,"dummy"
100,1585562707178,1585562646840,"dummy"
100,1585562768195,1585562707111,"dummy"
100,1585562829141,1585562768124,"dummy"
100,1585562889151,1585562829055,"dummy"
100,1585562949156,1585562889082,"dummy"
100,1585563009192,1585562949104,"dummy"
100,1585563070309,1585563009123,"dummy"
100,1585563131147,1585563070251,"dummy"
100,1585563192150,1585563131067,"dummy"
100,1585563252244,1585563192058,"dummy"
100,1585563313129,1585563252177,"dummy"
100,1585563373135,1585563313064,"dummy"
100,1585563434134,1585563373073,"dummy"
100,1585563495127,1585563434039,"dummy"
100,1585563556135,1585563495054,"dummy"
100,1585563616126,1585563556068,"dummy"
100,1585563677173,1585563616071,"dummy"
100,1585563737161,1585563677058,"dummy"
100,1585563797168,1585563737097,"dummy"
100,1585563858198,1585563797099,"dummy"
100,1585563918983,1585563858100,"dummy"
100,1585563978180,1585563918099,"dummy"
100,1585564039171,1585563978118,"dummy"
100,1585564100092,1585564039107,"dummy"
100,1585564161135,1585564100031,"dummy"
100,1585564221130,1585564161072,"dummy"
100,1585564281170,1585564221072,"dummy"
100,1585564341160,1585564281108,"dummy"
100,1585564401195,1585564341103,"dummy"
100,1585564461248,1585564401130,"dummy"
100,1585564521235,1585564461168,"dummy"
100,1585564581251,1585564521181,"dummy"
100,1585564641408,1585564581205,"dummy"
100,1585564702063,1585564641305,"dummy"
100,1585564762092,1585564702012,"dummy"
100,1585564822108,1585564762026,"dummy"
100,1585564882122,1585564822047,"dummy"
100,1585564942158,1585564882057,"dummy"
100,1585565003149,1585564942110,"dummy"
100,1585565064101,1585565003066,"dummy"
100,1585565124231,1585565064035,"dummy"
100,1585565184205,1585565124146,"dummy"
100,1585565244242,1585565184128,"dummy"
100,1585565305085,1585565244161,"dummy"
100,1585565366106,1585565305022,"dummy"
100,1585565426110,1585565366045,"dummy"
100,1585565486163,1585565426047,"dummy"
100,1585565546172,1585565486099,"dummy"
100,1585565606188,1585565546107,"dummy"
100,1585565666240,1585565606127,"dummy"
99,1585565726240,1585565666152,"dummy"
99,1585565786294,1585565726178,"dummy"
99,1585565847117,1585565786236,"dummy"
99,1585565908092,1585565847036,"dummy"
99,1585565968106,1585565908041,"dummy"
99,1585566028125,1585565968041,"dummy"
99,1585566088123,1585566028063,"dummy"
99,1585566148148,1585566088076,"dummy"
99,1585566208182,1585566148098,"dummy"
99,1585566269171,1585566208122,"dummy"
99,1585566330045,1585566269117,"dummy"
99,1585566391107,1585566329968,"dummy"
99,1585566451207,1585566391047,"dummy"
99,1585566511182,1585566451082,"dummy"
99,1585566571191,1585566511119,"dummy"
99,1585566631188,1585566571131,"dummy"
99,1585566691201,1585566631140,"dummy"
99,1585566751246,1585566691155,"dummy"
99,1585566811253,1585566751177,"dummy"
99,1585566871269,1585566811198,"dummy"
99,1585566931274,1585566871209,"dummy"
98,1585566992158,1585566931232,"dummy"
98,1585567052129,1585566992051,"dummy"
98,1585567113201,1585567052059,"dummy"
98,1585567173208,1585567113124,"dummy"
98,1585567233224,1585567173140,"dummy"
98,1585567293331,1585567233156,"dummy"
98,1585567354089,1585567293228,"dummy"
98,1585567414134,1585567354034,"dummy"
98,1585567474159,1585567414086,"dummy"
98,1585567534172,1585567474110,"dummy"
98,1585567594188,1585567534116,"dummy"
98,1585567655087,1585567594128,"dummy"
98,1585567715075,1585567655030,"dummy"
98,1585567775094,1585567715022,"dummy"
98,1585567835260,1585567775033,"dummy"
98,1585567896074,1585567835209,"dummy"
98,1585567956179,1585567896007,"dummy"
98,1585568016240,1585567956158,"dummy"
97,1585568076290,1585568016172,"dummy"
97,1585568137210,1585568076208,"dummy"
97,1585568197454,1585568137140,"dummy"
97,1585568257475,1585568197421,"dummy"
97,1585568318067,1585568257430,"dummy"
97,1585568378094,1585568318004,"dummy"
97,1585568438224,1585568378036,"dummy"
97,1585568498392,1585568438132,"dummy"
97,1585568558386,1585568498323,"dummy"
97,1585568618431,1585568558328,"dummy"
97,1585568678405,1585568618367,"dummy"
97,1585568738559,1585568678360,"dummy"
97,1585568798546,1585568738454,"dummy"
97,1585568859151,1585568798495,"dummy"
97,1585568919162,1585568859044,"dummy"
97,1585568979182,1585568919082,"dummy"
97,1585569040081,1585568979107,"dummy"
96,1585569100098,1585569040023,"dummy"
96,1585569160083,1585569100016,"dummy"
96,1585569221078,1585569160024,"dummy"
96,1585569281067,1585569221009,"dummy"
96,1585569341077,1585569281017,"dummy"
96,1585569401137,1585569341028,"dummy"
96,1585569462180,1585569401083,"dummy"
96,1585569522167,1585569462131,"dummy"
96,1585569582211,1585569522100,"dummy"
96,1585569642214,1585569582139,"dummy"
96,1585569702225,1585569642156,"dummy"
96,1585569763070,1585569702166,"dummy"
96,1585569824052,1585569763026,"dummy"
96,1585569885157,1585569824008,"dummy"
96,1585569945156,1585569885100,"dummy"
96,1585570005178,1585569945112,"dummy"
96,1585570066066,1585570005128,"dummy"
96,1585570126088,1585570066012,"dummy"
96,1585570186124,1585570126035,"dummy"
96,1585570247190,1585570186067,"dummy"
96,1585570308055,1585570247140,"dummy"
96,1585570369192,1585570308010,"dummy"
96,1585570430062,1585570369120,"dummy"
96,1585570490099,1585570430004,"dummy"
96,1585570550087,1585570490033,"dummy"
96,1585570611076,1585570550043,"dummy"
96,1585570672082,1585570611006,"dummy"
96,1585570732101,1585570672015,"dummy"
96,1585570792118,1585570732048,"dummy"
96,1585570853124,1585570792057,"dummy"
96,1585570913184,1585570853081,"dummy"
96,1585570973190,1585570913092,"dummy"
95,1585571033992,1585570973135,"dummy"
95,1585571094000,1585571033939,"dummy"
95,1585571154046,1585571093952,"dummy"
95,1585571214048,1585571153972,"dummy"
95,1585571275021,1585571213996,"dummy"
95,1585571335017,1585571274941,"dummy"
95,1585571395008,1585571334945,"dummy"
95,1585571455557,1585571394955,"dummy"
94,1585571515528,1585571455462,"dummy"
94,1585571575533,1585571515475,"dummy"
94,1585571636085,1585571575492,"dummy"
