battery,exec_timestamp,planning_timestamp,task
86,1586942244653,1586942183456,"dummy"
86,1586942305385,1586942244576,"dummy"
86,1586942365997,1586942305300,"dummy"
86,1586942426251,1586942365956,"dummy"
86,1586942486967,1586942426192,"dummy"
86,1586942547582,1586942486928,"dummy"
86,1586942608118,1586942547543,"dummy"
86,1586942668346,1586942608086,"dummy"
86,1586942729072,1586942668305,"dummy"
86,1586942789999,1586942729032,"dummy"
86,1586942850173,1586942789955,"dummy"
86,1586942910734,1586942850135,"dummy"
86,1586942971379,1586942910706,"dummy"
86,1586943031654,1586942971352,"dummy"
86,1586943091937,1586943031631,"dummy"
86,1586943152212,1586943091904,"dummy"
86,1586943212458,1586943152181,"dummy"
86,1586943272740,1586943212430,"dummy"
86,1586943333020,1586943272713,"dummy"
86,1586943393297,1586943332991,"dummy"
86,1586943454106,1586943393264,"dummy"
86,1586943514715,1586943454078,"dummy"
86,1586943574976,1586943514675,"dummy"
86,1586943635244,1586943574945,"dummy"
86,1586943695578,1586943635203,"dummy"
86,1586943755809,1586943695556,"dummy"
86,1586943815827,1586943755768,"dummy"
86,1586943876481,1586943815774,"dummy"
86,1586943936758,1586943876444,"dummy"
86,1586943997031,1586943936715,"dummy"
86,1586944057557,1586943996994,"dummy"
86,1586944118099,1586944057519,"dummy"
86,1586944179153,1586944118071,"dummy"
86,1586944239175,1586944179117,"dummy"
86,1586944299420,1586944239123,"dummy"
86,1586944360388,1586944299369,"dummy"
86,1586944420833,1586944360359,"dummy"
86,1586944481804,1586944420793,"dummy"
86,1586944542672,1586944481760,"dummy"
86,1586944602952,1586944542620,"dummy"
86,1586944662988,1586944602921,"dummy"
86,1586944723053,1586944662931,"dummy"
85,1586944783078,1586944723020,"dummy"
85,1586944843078,1586944783032,"dummy"
85,1586944903104,1586944843040,"dummy"
85,1586944963091,1586944903050,"dummy"
85,1586945023655,1586944963056,"dummy"
85,1586945084231,1586945023620,"dummy"
85,1586945144559,1586945084202,"dummy"
85,1586945205660,1586945144524,"dummy"
85,1586945265741,1586945205616,"dummy"
85,1586945325664,1586945265624,"dummy"
85,1586945385689,1586945325627,"dummy"
85,1586945445691,1586945385635,"dummy"
84,1586945505697,1586945445643,"dummy"
84,1586945565698,1586945505649,"dummy"
84,1586945625712,1586945565659,"dummy"
84,1586945685733,1586945625669,"dummy"
84,1586945746440,1586945685676,"dummy"
84,1586945806933,1586945746411,"dummy"
84,1586945867265,1586945806912,"dummy"
84,1586945927612,1586945867231,"dummy"
84,1586945988441,1586945927580,"dummy"
84,1586946048687,1586945988396,"dummy"
84,1586946109405,1586946048654,"dummy"
84,1586946169936,1586946109379,"dummy"
84,1586946229946,1586946169903,"dummy"
84,1586946290921,1586946229912,"dummy"
84,1586946351165,1586946290873,"dummy"
84,1586946411724,1586946351129,"dummy"
84,1586946472322,1586946411688,"dummy"
84,1586946532316,1586946472280,"dummy"
84,1586946593400,1586946532283,"dummy"
84,1586946653635,1586946593364,"dummy"
84,1586946713701,1586946653607,"dummy"
84,1586946773673,1586946713613,"dummy"
84,1586946834091,1586946773622,"dummy"
84,1586946894782,1586946834051,"dummy"
84,1586946955323,1586946894754,"dummy"
84,1586947015967,1586946955290,"dummy"
84,1586947076366,1586947015929,"dummy"
84,1586947136623,1586947076320,"dummy"
84,1586947197231,1586947136584,"dummy"
84,1586947257865,1586947197185,"dummy"
84,1586947318009,1586947257816,"dummy"
84,1586947378649,1586947317974,"dummy"
84,1586947439085,1586947378619,"dummy"
84,1586947499417,1586947439040,"dummy"
84,1586947560452,1586947499386,"dummy"
84,1586947621200,1586947560407,"dummy"
84,1586947681700,1586947621159,"dummy"
84,1586947742510,1586947681672,"dummy"
84,1586947803290,1586947742485,"dummy"
84,1586947864109,1586947803256,"dummy"
84,1586947924648,1586947864080,"dummy"
84,1586947985326,1586947924612,"dummy"
84,1586948045532,1586947985289,"dummy"
