battery,exec_timestamp,planning_timestamp,task
94,1586942239062,1586942178868,"dummy"
94,1586942298849,1586942238994,"dummy"
94,1586942360628,1586942298833,"dummy"
94,1586942421579,1586942360604,"dummy"
94,1586942481569,1586942421535,"dummy"
94,1586942541586,1586942481543,"dummy"
94,1586942601596,1586942541568,"dummy"
94,1586942661569,1586942601576,"dummy"
94,1586942722648,1586942661553,"dummy"
94,1586942783533,1586942722612,"dummy"
94,1586942843566,1586942783512,"dummy"
94,1586942903551,1586942843526,"dummy"
94,1586942963564,1586942903534,"dummy"
94,1586943023578,1586942963544,"dummy"
94,1586943084642,1586943023554,"dummy"
94,1586943144762,1586943084618,"dummy"
94,1586943204602,1586943144732,"dummy"
94,1586943264716,1586943204585,"dummy"
94,1586943324514,1586943264695,"dummy"
94,1586943384559,1586943324485,"dummy"
94,1586943444546,1586943384539,"dummy"
94,1586943504482,1586943444525,"dummy"
94,1586943564541,1586943504465,"dummy"
94,1586943624544,1586943564509,"dummy"
94,1586943685643,1586943624514,"dummy"
94,1586943746534,1586943685620,"dummy"
94,1586943806662,1586943746514,"dummy"
94,1586943866541,1586943806637,"dummy"
94,1586943927663,1586943866514,"dummy"
94,1586943987645,1586943927642,"dummy"
94,1586944047661,1586943987630,"dummy"
94,1586944107456,1586944047635,"dummy"
94,1586944168652,1586944107441,"dummy"
94,1586944228644,1586944168621,"dummy"
94,1586944288642,1586944228622,"dummy"
94,1586944348718,1586944288624,"dummy"
94,1586944408670,1586944348626,"dummy"
94,1586944468677,1586944408636,"dummy"
94,1586944528681,1586944468662,"dummy"
94,1586944589681,1586944528664,"dummy"
94,1586944650550,1586944589658,"dummy"
94,1586944710427,1586944650523,"dummy"
94,1586944770557,1586944710353,"dummy"
93,1586944830548,1586944770529,"dummy"
94,1586944890551,1586944830527,"dummy"
94,1586944950552,1586944890534,"dummy"
94,1586945011560,1586944950531,"dummy"
94,1586945071560,1586945011525,"dummy"
94,1586945131542,1586945071527,"dummy"
94,1586945191580,1586945131520,"dummy"
93,1586945252668,1586945191564,"dummy"
94,1586945312676,1586945252637,"dummy"
93,1586945373137,1586945312641,"dummy"
93,1586945433537,1586945373119,"dummy"
94,1586945493538,1586945433517,"dummy"
94,1586945553549,1586945493521,"dummy"
94,1586945613571,1586945553527,"dummy"
93,1586945673579,1586945613549,"dummy"
93,1586945733575,1586945673561,"dummy"
94,1586945794534,1586945733560,"dummy"
94,1586945854548,1586945794513,"dummy"
94,1586945915012,1586945854517,"dummy"
