battery,exec_timestamp,planning_timestamp,task
95,1585234245392,1585234185132,"dummy"
95,1585234348975,1585234182144,"dummy"
95,1585234431525,1585234371384,"dummy"
95,1585234491565,1585234431424,"dummy"
95,1585234551650,1585234491463,"dummy"
95,1585234611696,1585234551558,"dummy"
95,1585234671772,1585234611593,"dummy"
95,1585234732554,1585234671680,"dummy"
95,1585234793107,1585234732424,"dummy"
95,1585234853575,1585234792928,"dummy"
95,1585234914324,1585234853475,"dummy"
95,1585234974787,1585234914210,"dummy"
95,1585235035208,1585234974693,"dummy"
95,1585235095660,1585235035115,"dummy"
95,1585235156089,1585235095549,"dummy"
95,1585235216555,1585235155987,"dummy"
95,1585235276580,1585235216445,"dummy"
95,1585235337130,1585235276478,"dummy"
95,1585235397520,1585235337032,"dummy"
95,1585235457915,1585235397411,"dummy"
95,1585235518605,1585235457824,"dummy"
95,1585235579023,1585235518508,"dummy"
95,1585235639205,1585235578904,"dummy"
95,1585235699975,1585235639106,"dummy"
95,1585235760426,1585235699869,"dummy"
95,1585235820844,1585235760334,"dummy"
95,1585235881515,1585235820742,"dummy"
95,1585235941532,1585235881413,"dummy"
95,1585236002283,1585235941442,"dummy"
95,1585236062690,1585236002180,"dummy"
95,1585236123146,1585236062595,"dummy"
95,1585236183578,1585236123049,"dummy"
95,1585236244002,1585236183471,"dummy"
95,1585236305039,1585236243916,"dummy"
95,1585236365439,1585236304939,"dummy"
95,1585236425875,1585236365344,"dummy"
95,1585236486562,1585236425788,"dummy"
95,1585236547001,1585236486459,"dummy"
95,1585236607440,1585236546890,"dummy"
95,1585236667870,1585236607347,"dummy"
95,1585236728300,1585236667768,"dummy"
95,1585236788709,1585236728201,"dummy"
95,1585236850246,1585236788613,"dummy"
95,1585236910020,1585236849032,"dummy"
95,1585236970543,1585236909921,"dummy"
95,1585237030984,1585236970450,"dummy"
95,1585237091655,1585237030892,"dummy"
95,1585237152101,1585237091558,"dummy"
95,1585237212498,1585237152003,"dummy"
95,1585237272942,1585237212401,"dummy"
95,1585237333344,1585237272844,"dummy"
95,1585237393736,1585237333256,"dummy"
95,1585237453739,1585237393643,"dummy"
95,1585237514137,1585237453670,"dummy"
95,1585237574782,1585237514039,"dummy"
95,1585237635215,1585237574683,"dummy"
95,1585237695926,1585237635117,"dummy"
95,1585237756608,1585237695826,"dummy"
95,1585237816620,1585237756508,"dummy"
95,1585237877777,1585237816539,"dummy"
95,1585237938158,1585237877668,"dummy"
95,1585237998585,1585237938059,"dummy"
95,1585238058605,1585237998483,"dummy"
95,1585238118970,1585238058507,"dummy"
95,1585238179391,1585238118885,"dummy"
95,1585238239805,1585238179299,"dummy"
95,1585238300429,1585238239700,"dummy"
95,1585238360498,1585238300335,"dummy"
95,1585238420897,1585238360405,"dummy"
95,1585238481444,1585238420817,"dummy"
95,1585238542129,1585238480996,"dummy"
95,1585238602521,1585238542023,"dummy"
95,1585238663330,1585238602430,"dummy"
95,1585238723266,1585238662876,"dummy"
95,1585238783714,1585238723159,"dummy"
95,1585238844124,1585238783629,"dummy"
95,1585238904905,1585238844026,"dummy"
95,1585238964926,1585238904813,"dummy"
95,1585239025651,1585238964838,"dummy"
95,1585239086034,1585239025557,"dummy"
95,1585239146466,1585239085938,"dummy"
95,1585239206799,1585239146355,"dummy"
95,1585239267865,1585239206714,"dummy"
95,1585239328262,1585239267783,"dummy"
95,1585239388728,1585239328177,"dummy"
95,1585239449392,1585239388630,"dummy"
95,1585239510186,1585239449309,"dummy"
95,1585239570624,1585239510095,"dummy"
95,1585239630926,1585239570529,"dummy"
95,1585239690957,1585239630821,"dummy"
95,1585239751709,1585239690863,"dummy"
95,1585239812162,1585239751608,"dummy"
95,1585239872225,1585239812063,"dummy"
95,1585239933331,1585239872131,"dummy"
95,1585239993754,1585239933253,"dummy"
95,1585240054142,1585239993657,"dummy"
95,1585240114811,1585240054059,"dummy"
95,1585240175909,1585240114717,"dummy"
95,1585240236458,1585240175821,"dummy"
95,1585240296831,1585240236365,"dummy"
95,1585240357096,1585240296741,"dummy"
95,1585240417523,1585240357003,"dummy"
95,1585240477962,1585240417434,"dummy"
95,1585240538363,1585240477870,"dummy"
95,1585240598718,1585240538275,"dummy"
95,1585240659152,1585240598645,"dummy"
94,1585240719830,1585240659064,"dummy"
94,1585240779887,1585240719731,"dummy"
94,1585240840424,1585240779782,"dummy"
94,1585240901041,1585240840327,"dummy"
94,1585240961445,1585240900943,"dummy"
94,1585241022429,1585240961351,"dummy"
94,1585241083419,1585241022319,"dummy"
94,1585241144077,1585241083331,"dummy"
94,1585241204250,1585241143976,"dummy"
94,1585241264682,1585241204156,"dummy"
94,1585241324860,1585241264574,"dummy"
94,1585241385285,1585241324768,"dummy"
94,1585241446145,1585241385200,"dummy"
94,1585241506537,1585241446049,"dummy"
94,1585241566967,1585241506442,"dummy"
94,1585241627392,1585241566866,"dummy"
94,1585241687785,1585241627294,"dummy"
94,1585241748192,1585241687697,"dummy"
94,1585241809304,1585241748104,"dummy"
94,1585241869720,1585241809202,"dummy"
94,1585241930189,1585241869620,"dummy"
94,1585241991196,1585241930100,"dummy"
94,1585242051942,1585241991116,"dummy"
94,1585242112309,1585242051845,"dummy"
94,1585242173139,1585242112237,"dummy"
94,1585242233564,1585242172622,"dummy"
94,1585242294244,1585242233460,"dummy"
94,1585242354640,1585242294162,"dummy"
94,1585242415086,1585242354544,"dummy"
94,1585242475713,1585242414992,"dummy"
94,1585242536111,1585242475641,"dummy"
94,1585242596777,1585242536048,"dummy"
94,1585242657176,1585242596689,"dummy"
94,1585242717625,1585242657099,"dummy"
94,1585242778025,1585242717528,"dummy"
94,1585242839119,1585242777947,"dummy"
94,1585242899503,1585242839020,"dummy"
94,1585242959883,1585242899408,"dummy"
94,1585243020293,1585242959815,"dummy"
94,1585243080933,1585243020206,"dummy"
94,1585243141337,1585243080862,"dummy"
94,1585243202019,1585243141243,"dummy"
94,1585243262438,1585243201920,"dummy"
94,1585243322825,1585243262339,"dummy"
94,1585243383501,1585243322729,"dummy"
94,1585243443891,1585243383401,"dummy"
94,1585243504245,1585243443816,"dummy"
94,1585243564617,1585243504174,"dummy"
94,1585243625021,1585243564541,"dummy"
94,1585243685641,1585243624930,"dummy"
94,1585243746671,1585243685563,"dummy"
94,1585243807103,1585243746594,"dummy"
94,1585243867522,1585243807002,"dummy"
94,1585243927933,1585243867425,"dummy"
94,1585243988336,1585243927837,"dummy"
94,1585244048732,1585243988247,"dummy"
94,1585244109162,1585244048638,"dummy"
94,1585244169510,1585244109075,"dummy"
94,1585244229903,1585244169431,"dummy"
94,1585244290573,1585244229820,"dummy"
94,1585244350970,1585244290474,"dummy"
94,1585244411389,1585244350870,"dummy"
94,1585244471811,1585244411295,"dummy"
94,1585244532235,1585244471730,"dummy"
94,1585244592614,1585244532124,"dummy"
94,1585244653006,1585244592539,"dummy"
94,1585244713386,1585244652907,"dummy"
94,1585244773793,1585244713312,"dummy"
94,1585244834239,1585244773700,"dummy"
94,1585244894337,1585244834140,"dummy"
94,1585244954784,1585244894265,"dummy"
