battery,exec_timestamp,planning_timestamp,task
100,1585052171072,1585052123136,"dummy"
100,1585052171067,1585052123136,"GPS"
100,1585052230925,1585052170766,"dummy"
100,1585052230924,1585052170766,"GPS"
100,1585052291188,1585052230792,"dummy"
100,1585052291186,1585052230792,"GPS"
100,1585052351214,1585052291060,"dummy"
100,1585052351213,1585052291060,"GPS"
100,1585052411299,1585052351091,"dummy"
100,1585052411298,1585052351091,"GPS"
100,1585052471336,1585052411175,"dummy"
100,1585052471335,1585052411175,"GPS"
100,1585052531409,1585052471217,"dummy"
100,1585052531408,1585052471217,"GPS"
100,1585052591440,1585052531293,"dummy"
100,1585052591436,1585052531293,"GPS"
100,1585052651533,1585052591323,"dummy"
100,1585052651532,1585052591323,"GPS"
100,1585052711543,1585052651402,"dummy"
100,1585052711542,1585052651402,"GPS"
100,1585052771624,1585052711438,"dummy"
100,1585052771623,1585052711438,"GPS"
100,1585052831670,1585052771515,"dummy"
100,1585052831669,1585052771515,"GPS"
100,1585052891745,1585052831545,"dummy"
100,1585052891744,1585052831545,"GPS"
100,1585052951769,1585052891625,"dummy"
100,1585052951768,1585052891625,"GPS"
100,1585053011863,1585052951658,"dummy"
100,1585053011862,1585052951658,"GPS"
100,1585053071902,1585053011751,"dummy"
100,1585053071901,1585053011751,"GPS"
100,1585053132303,1585053071790,"dummy"
100,1585053132302,1585053071790,"GPS"
100,1585053192001,1585053131955,"dummy"
100,1585053192000,1585053131955,"GPS"
100,1585053252156,1585053191893,"dummy"
100,1585053252156,1585053191893,"GPS"
100,1585053312177,1585053252053,"dummy"
100,1585053312176,1585053252053,"GPS"
100,1585053372269,1585053312079,"dummy"
100,1585053372268,1585053312079,"GPS"
100,1585053432279,1585053372153,"dummy"
100,1585053432278,1585053372153,"GPS"
100,1585053492379,1585053432178,"dummy"
100,1585053492378,1585053432178,"GPS"
100,1585053552416,1585053492266,"dummy"
100,1585053552415,1585053492266,"GPS"
100,1585053612479,1585053552293,"dummy"
100,1585053612479,1585053552293,"GPS"
100,1585053672524,1585053612371,"dummy"
100,1585053672524,1585053612371,"GPS"
100,1585053732564,1585053672424,"dummy"
100,1585053732564,1585053672424,"GPS"
100,1585053792638,1585053732474,"dummy"
100,1585053792638,1585053732474,"GPS"
100,1585053852678,1585053792527,"dummy"
100,1585053852677,1585053792527,"GPS"
100,1585053912736,1585053852572,"dummy"
100,1585053912736,1585053852572,"GPS"
100,1585053972778,1585053912632,"dummy"
100,1585053972769,1585053912632,"GPS"
100,1585054032840,1585053972681,"dummy"
100,1585054032839,1585053972681,"GPS"
100,1585054092865,1585054032737,"dummy"
100,1585054092864,1585054032737,"GPS"
100,1585054152936,1585054092771,"dummy"
100,1585054152935,1585054092771,"GPS"
100,1585054212972,1585054152833,"dummy"
100,1585054212971,1585054152833,"GPS"
100,1585054273038,1585054212876,"dummy"
100,1585054273037,1585054212876,"GPS"
100,1585054333074,1585054272940,"dummy"
100,1585054333074,1585054272940,"GPS"
100,1585054393128,1585054332970,"dummy"
100,1585054393127,1585054332970,"GPS"
100,1585054453167,1585054393033,"dummy"
100,1585054453167,1585054393033,"GPS"
100,1585054513233,1585054453071,"dummy"
100,1585054513233,1585054453071,"GPS"
100,1585054573249,1585054513126,"dummy"
100,1585054573249,1585054513126,"GPS"
100,1585054633326,1585054573157,"dummy"
100,1585054633326,1585054573157,"GPS"
100,1585054693369,1585054633219,"dummy"
100,1585054693359,1585054633219,"GPS"
100,1585054753418,1585054693247,"dummy"
100,1585054753417,1585054693247,"GPS"
100,1585054813449,1585054753325,"dummy"
100,1585054813449,1585054753325,"GPS"
100,1585054873525,1585054813349,"dummy"
100,1585054873524,1585054813349,"GPS"
100,1585054937495,1585054875648,"dummy"
100,1585054937492,1585054875648,"GPS"
100,1585054997361,1585054937221,"dummy"
100,1585054997360,1585054937221,"GPS"
100,1585055057624,1585054997245,"dummy"
100,1585055057622,1585054997245,"GPS"
100,1585055117635,1585055057501,"dummy"
100,1585055117634,1585055057501,"GPS"
100,1585055177750,1585055117527,"dummy"
100,1585055177749,1585055117527,"GPS"
100,1585055237778,1585055177615,"dummy"
100,1585055237777,1585055177615,"GPS"
100,1585055297889,1585055237654,"dummy"
100,1585055297888,1585055237654,"GPS"
100,1585055357893,1585055297735,"dummy"
100,1585055357892,1585055297735,"GPS"
100,1585055417996,1585055357771,"dummy"
100,1585055417995,1585055357771,"GPS"
100,1585055478045,1585055417871,"dummy"
100,1585055478045,1585055417871,"GPS"
100,1585055538161,1585055477928,"dummy"
100,1585055538161,1585055477928,"GPS"
100,1585055598202,1585055538038,"dummy"
100,1585055598202,1585055538038,"GPS"
100,1585055658266,1585055598071,"dummy"
100,1585055658265,1585055598071,"GPS"
100,1585055718311,1585055658150,"dummy"
100,1585055718311,1585055658150,"GPS"
100,1585055778380,1585055718201,"dummy"
100,1585055778379,1585055718201,"GPS"
100,1585055838430,1585055778259,"dummy"
100,1585055838429,1585055778259,"GPS"
100,1585055898499,1585055838309,"dummy"
100,1585055898499,1585055838309,"GPS"
100,1585055958525,1585055898387,"dummy"
100,1585055958524,1585055898387,"GPS"
100,1585056018604,1585055958423,"dummy"
100,1585056018603,1585055958423,"GPS"
100,1585056078635,1585056018497,"dummy"
100,1585056078635,1585056018497,"GPS"
100,1585056138739,1585056078526,"dummy"
100,1585056138738,1585056078526,"GPS"
100,1585056198766,1585056138613,"dummy"
100,1585056198765,1585056138613,"GPS"
100,1585056258903,1585056198656,"dummy"
100,1585056258902,1585056198656,"GPS"
100,1585056318899,1585056258753,"dummy"
100,1585056318899,1585056258753,"GPS"
100,1585056379002,1585056318778,"dummy"
99,1585056379001,1585056318778,"GPS"
99,1585056439016,1585056378891,"dummy"
99,1585056439016,1585056378891,"GPS"
99,1585056499128,1585056438921,"dummy"
99,1585056499127,1585056438921,"GPS"
99,1585056559150,1585056499011,"dummy"
99,1585056559150,1585056499011,"GPS"
99,1585056619247,1585056559038,"dummy"
99,1585056619247,1585056559038,"GPS"
99,1585056679276,1585056619128,"dummy"
99,1585056679275,1585056619128,"GPS"
99,1585056739355,1585056679173,"dummy"
99,1585056739355,1585056679173,"GPS"
99,1585056799394,1585056739242,"dummy"
99,1585056799393,1585056739242,"GPS"
99,1585056859462,1585056799280,"dummy"
99,1585056859462,1585056799280,"GPS"
99,1585056919493,1585056859360,"dummy"
99,1585056919492,1585056859360,"GPS"
99,1585056979579,1585056919388,"dummy"
99,1585056979579,1585056919388,"GPS"
99,1585057039598,1585056979462,"dummy"
99,1585057039597,1585056979462,"GPS"
99,1585057100094,1585057039491,"dummy"
99,1585057100094,1585057039491,"GPS"
99,1585057159727,1585057099587,"dummy"
99,1585057159727,1585057099587,"GPS"
99,1585057219810,1585057159618,"dummy"
99,1585057219809,1585057159618,"GPS"
99,1585057279822,1585057219705,"dummy"
98,1585057279821,1585057219705,"GPS"
98,1585057339908,1585057279734,"dummy"
98,1585057339907,1585057279734,"GPS"
98,1585057399921,1585057339804,"dummy"
98,1585057399920,1585057339804,"GPS"
98,1585057459949,1585057399828,"dummy"
98,1585057459949,1585057399828,"GPS"
98,1585057520008,1585057459883,"dummy"
98,1585057520008,1585057459883,"GPS"
99,1585057584138,1585057497088,"dummy"
99,1585057584135,1585057497088,"GPS"
