battery,exec_timestamp,planning_timestamp,task
77,1611597957473,1611597896460,"dummy"
76,1611598019433,1611598004224,"dummy"
75,1611598078355,1611598019256,"dummy"
75,1611598140161,1611598078308,"dummy"
75,1611598200305,1611598140112,"dummy"
75,1611598260545,1611598200259,"dummy"
75,1611598321304,1611598260493,"dummy"
75,1611598380615,1611598321258,"dummy"
75,1611598441861,1611598380565,"dummy"
75,1611598501479,1611598441797,"dummy"
75,1611598561890,1611598501427,"dummy"
75,1611598622242,1611598561838,"dummy"
75,1611598681991,1611598622199,"dummy"
75,1611598742949,1611598681876,"dummy"
75,1611598802007,1611598742894,"dummy"
75,1611598863012,1611598801935,"dummy"
75,1611598922080,1611598862944,"dummy"
75,1611598983518,1611598921985,"dummy"
75,1611599041847,1611598983470,"dummy"
75,1611599103817,1611599041755,"dummy"
75,1611599162895,1611599103769,"dummy"
75,1611599223903,1611599162809,"dummy"
75,1611599282948,1611599223845,"dummy"
75,1611599344840,1611599282888,"dummy"
75,1611599404605,1611599344793,"dummy"
75,1611599464874,1611599404558,"dummy"
75,1611599524845,1611599464806,"dummy"
75,1611599585662,1611599524796,"dummy"
75,1611599644904,1611599585619,"dummy"
75,1611599705947,1611599644825,"dummy"
75,1611599765112,1611599705899,"dummy"
75,1611599826768,1611599765068,"dummy"
75,1611599886561,1611599826721,"dummy"
75,1611599947176,1611599886506,"dummy"
75,1611600006717,1611599947131,"dummy"
75,1611600067233,1611600006670,"dummy"
75,1611600126817,1611600067176,"dummy"
75,1611600187466,1611600126733,"dummy"
75,1611600246863,1611600187418,"dummy"
75,1611600307544,1611600246765,"dummy"
75,1611600366934,1611600307457,"dummy"
75,1611600427886,1611600366804,"dummy"
75,1611600487859,1611600427845,"dummy"
75,1611600548671,1611600487809,"dummy"
75,1611600608478,1611600548594,"dummy"
75,1611600668686,1611600608422,"dummy"
75,1611600729319,1611600668612,"dummy"
75,1611600789634,1611600729269,"dummy"
75,1611600849672,1611600789577,"dummy"
75,1611600910427,1611600849544,"dummy"
75,1611600970691,1611600910367,"dummy"
75,1611601030902,1611600970637,"dummy"
75,1611601090773,1611601030851,"dummy"
75,1611601150977,1611601090663,"dummy"
75,1611601211302,1611601150893,"dummy"
75,1611601272080,1611601211251,"dummy"
75,1611601331884,1611601272024,"dummy"
75,1611601392969,1611601331829,"dummy"
75,1611601452983,1611601392918,"dummy"
