battery,exec_timestamp,planning_timestamp,task
97,1611597971241,1611597873152,"dummy"
97,1611598027338,1611597967615,"dummy"
97,1611598088221,1611598027213,"dummy"
97,1611598148372,1611598088116,"dummy"
97,1611598208828,1611598148251,"dummy"
97,1611598269514,1611598208706,"dummy"
97,1611598328931,1611598269411,"dummy"
97,1611598390389,1611598328832,"dummy"
97,1611598450340,1611598390280,"dummy"
97,1611598511056,1611598450214,"dummy"
97,1611598570855,1611598510937,"dummy"
97,1611598631358,1611598570731,"dummy"
97,1611598691838,1611598631219,"dummy"
97,1611598752288,1611598691717,"dummy"
97,1611598812076,1611598752174,"dummy"
97,1611598872887,1611598811969,"dummy"
97,1611598932558,1611598872770,"dummy"
97,1611598993224,1611598932448,"dummy"
97,1611599052921,1611598993110,"dummy"
97,1611599114353,1611599052799,"dummy"
97,1611599174181,1611599114266,"dummy"
97,1611599234730,1611599173909,"dummy"
97,1611599295183,1611599234507,"dummy"
97,1611599355639,1611599295063,"dummy"
97,1611599416098,1611599355527,"dummy"
97,1611599476209,1611599415983,"dummy"
97,1611599536656,1611599476109,"dummy"
97,1611599596494,1611599536558,"dummy"
97,1611599657170,1611599596400,"dummy"
97,1611599717590,1611599657054,"dummy"
97,1611599777354,1611599717496,"dummy"
97,1611599838259,1611599777257,"dummy"
97,1611599897650,1611599838153,"dummy"
97,1611599959073,1611599897559,"dummy"
97,1611600018497,1611599958979,"dummy"
97,1611600079297,1611600018402,"dummy"
97,1611600138711,1611600079189,"dummy"
97,1611600200135,1611600138609,"dummy"
97,1611600259990,1611600200053,"dummy"
97,1611600320419,1611600259890,"dummy"
97,1611600380943,1611600320305,"dummy"
97,1611600441342,1611600380795,"dummy"
97,1611600501798,1611600441244,"dummy"
97,1611600561902,1611600501685,"dummy"
97,1611600622373,1611600561799,"dummy"
97,1611600682183,1611600622220,"dummy"
97,1611600742593,1611600682094,"dummy"
97,1611600802986,1611600742497,"dummy"
97,1611600862656,1611600802915,"dummy"
97,1611600923174,1611600862559,"dummy"
97,1611600982992,1611600923067,"dummy"
97,1611601043437,1611600982890,"dummy"
97,1611601103919,1611601043317,"dummy"
97,1611601163582,1611601103812,"dummy"
97,1611601225062,1611601163490,"dummy"
97,1611601284533,1611601224958,"dummy"
97,1611601345950,1611601284401,"dummy"
