battery,exec_timestamp,planning_timestamp,task
50,1611221732790,1611221672676,"dummy"
50,1611221792901,1611221732719,"dummy"
50,1611221852940,1611221792768,"dummy"
50,1611221912989,1611221852796,"dummy"
50,1611221972972,1611221912837,"dummy"
50,1611222033043,1611221972845,"dummy"
51,1611222093081,1611222032896,"dummy"
51,1611222153059,1611222092938,"dummy"
51,1611222213134,1611222152939,"dummy"
51,1611222273150,1611222212993,"dummy"
52,1611222333208,1611222273010,"dummy"
52,1611222393112,1611222333052,"dummy"
52,1611222453232,1611222393025,"dummy"
52,1611222513137,1611222453080,"dummy"
52,1611222573312,1611222513080,"dummy"
52,1611222633339,1611222573147,"dummy"
52,1611222693227,1611222633199,"dummy"
53,1611222753277,1611222693174,"dummy"
53,1611222815127,1611222753215,"dummy"
53,1611222874166,1611222814991,"dummy"
54,1611222935115,1611222874041,"dummy"
54,1611222994231,1611222934999,"dummy"
54,1611223055084,1611222994098,"dummy"
54,1611223114302,1611223055024,"dummy"
54,1611223175137,1611223114152,"dummy"
54,1611223234257,1611223175080,"dummy"
54,1611223295168,1611223234179,"dummy"
54,1611223354387,1611223295118,"dummy"
54,1611223415365,1611223354248,"dummy"
54,1611223474419,1611223415217,"dummy"
54,1611223535407,1611223474291,"dummy"
54,1611223594468,1611223535241,"dummy"
55,1611223655463,1611223594352,"dummy"
55,1611223714591,1611223655324,"dummy"
55,1611223775523,1611223714435,"dummy"
55,1611223834590,1611223775381,"dummy"
55,1611223895565,1611223834484,"dummy"
55,1611223954636,1611223895427,"dummy"
55,1611224015587,1611223954529,"dummy"
56,1611224074715,1611224015476,"dummy"
56,1611224135674,1611224074599,"dummy"
56,1611224194744,1611224135537,"dummy"
56,1611224255727,1611224194635,"dummy"
57,1611224314839,1611224255601,"dummy"
57,1611224375759,1611224314703,"dummy"
57,1611224434866,1611224375656,"dummy"
57,1611224495826,1611224434761,"dummy"
57,1611224555432,1611224495715,"dummy"
57,1611224615919,1611224555377,"dummy"
57,1611224675537,1611224615802,"dummy"
57,1611224736416,1611224675415,"dummy"
57,1611224795584,1611224736304,"dummy"
57,1611224856468,1611224795458,"dummy"
57,1611224916506,1611224856373,"dummy"
57,1611224976555,1611224916373,"dummy"
57,1611225036466,1611224976460,"dummy"
57,1611225096623,1611225036350,"dummy"
57,1611225156701,1611225096525,"dummy"
57,1611225217363,1611225156387,"dummy"
57,1611225276585,1611225217291,"dummy"
57,1611225338402,1611225276454,"dummy"
57,1611225397437,1611225338297,"dummy"
57,1611225458449,1611225397341,"dummy"
57,1611225517525,1611225458344,"dummy"
57,1611225579468,1611225517401,"dummy"
57,1611225638465,1611225579321,"dummy"
57,1611225699502,1611225638369,"dummy"
57,1611225758532,1611225699369,"dummy"
57,1611225819519,1611225758410,"dummy"
57,1611225879403,1611225819412,"dummy"
57,1611225939584,1611225879299,"dummy"
57,1611225999460,1611225939484,"dummy"
57,1611226059621,1611225999362,"dummy"
57,1611226120391,1611226059513,"dummy"
57,1611226179697,1611226120297,"dummy"
57,1611226241406,1611226179566,"dummy"
57,1611226301428,1611226241307,"dummy"
57,1611226362415,1611226301319,"dummy"
57,1611226421482,1611226362304,"dummy"
57,1611226482500,1611226421357,"dummy"
57,1611226542389,1611226482376,"dummy"
57,1611226603394,1611226542290,"dummy"
57,1611226662450,1611226603291,"dummy"
57,1611226723446,1611226662330,"dummy"
57,1611226782504,1611226723336,"dummy"
57,1611226843476,1611226782388,"dummy"
57,1611226902581,1611226843374,"dummy"
57,1611226964427,1611226902469,"dummy"
57,1611227024424,1611226964313,"dummy"
57,1611227085402,1611227024303,"dummy"
57,1611227145388,1611227085300,"dummy"
57,1611227206424,1611227145295,"dummy"
57,1611227266408,1611227206309,"dummy"
57,1611227327415,1611227266314,"dummy"
57,1611227387418,1611227327303,"dummy"
57,1611227447435,1611227387307,"dummy"
57,1611227507468,1611227447342,"dummy"
57,1611227568492,1611227507350,"dummy"
57,1611227628420,1611227568350,"dummy"
57,1611227688463,1611227628302,"dummy"
57,1611227749396,1611227688340,"dummy"
57,1611227808543,1611227749294,"dummy"
57,1611227870424,1611227808389,"dummy"
57,1611227930417,1611227870310,"dummy"
57,1611227990484,1611227930304,"dummy"
57,1611228050453,1611227990354,"dummy"
57,1611228111433,1611228050372,"dummy"
57,1611228170520,1611228111295,"dummy"
57,1611228231464,1611228170404,"dummy"
57,1611228290592,1611228231343,"dummy"
57,1611228352380,1611228290479,"dummy"
57,1611228411406,1611228352279,"dummy"
57,1611228472441,1611228411317,"dummy"
57,1611228531469,1611228472331,"dummy"
57,1611228593396,1611228531371,"dummy"
57,1611228652437,1611228593299,"dummy"
57,1611228713453,1611228652342,"dummy"
57,1611228772516,1611228713346,"dummy"
57,1611228833496,1611228772406,"dummy"
57,1611228892574,1611228833396,"dummy"
57,1611228953551,1611228892460,"dummy"
57,1611229012623,1611228953435,"dummy"
57,1611229074429,1611229012509,"dummy"
57,1611229133479,1611229074306,"dummy"
57,1611229194474,1611229133367,"dummy"
57,1611229254408,1611229194357,"dummy"
57,1611229315387,1611229254296,"dummy"
57,1611229375427,1611229315292,"dummy"
57,1611229436394,1611229375325,"dummy"
57,1611229495449,1611229436295,"dummy"
57,1611229556428,1611229495358,"dummy"
57,1611229616375,1611229556332,"dummy"
57,1611229677388,1611229616294,"dummy"
57,1611229737392,1611229677294,"dummy"
57,1611229797447,1611229737296,"dummy"
57,1611229858414,1611229797351,"dummy"
56,1611229918387,1611229858301,"dummy"
56,1611229979399,1611229918291,"dummy"
56,1611230039393,1611229979302,"dummy"
56,1611230100427,1611230039300,"dummy"
56,1611230160391,1611230100310,"dummy"
56,1611230221384,1611230160288,"dummy"
56,1611230281377,1611230221292,"dummy"
56,1611230342388,1611230281296,"dummy"
56,1611230402409,1611230342293,"dummy"
56,1611230462444,1611230402305,"dummy"
56,1611230522433,1611230462343,"dummy"
56,1611230582472,1611230522341,"dummy"
56,1611230642469,1611230582370,"dummy"
56,1611230702503,1611230642374,"dummy"
56,1611230762508,1611230702409,"dummy"
56,1611230822548,1611230762417,"dummy"
56,1611230882555,1611230822454,"dummy"
56,1611230942584,1611230882458,"dummy"
56,1611231002588,1611230942495,"dummy"
56,1611231062615,1611231002501,"dummy"
56,1611231123409,1611231062536,"dummy"
56,1611231183408,1611231123310,"dummy"
56,1611231243421,1611231183298,"dummy"
56,1611231303461,1611231243332,"dummy"
56,1611231364391,1611231303354,"dummy"
56,1611231423498,1611231364294,"dummy"
56,1611231484425,1611231423398,"dummy"
56,1611231543537,1611231484335,"dummy"
56,1611231604473,1611231543426,"dummy"
56,1611231663557,1611231604373,"dummy"
56,1611231725384,1611231663466,"dummy"
