battery,exec_timestamp,planning_timestamp,task
96,1611597963731,1611597873152,"dummy"
96,1611598020585,1611597961299,"dummy"
96,1611598081235,1611598020536,"dummy"
96,1611598140838,1611598081191,"dummy"
96,1611598201587,1611598140795,"dummy"
96,1611598260743,1611598201543,"dummy"
96,1611598321622,1611598260703,"dummy"
96,1611598380629,1611598321566,"dummy"
96,1611598441616,1611598380587,"dummy"
96,1611598500649,1611598441572,"dummy"
96,1611598561632,1611598500609,"dummy"
96,1611598620666,1611598561592,"dummy"
96,1611598681784,1611598620615,"dummy"
95,1611598741683,1611598681665,"dummy"
95,1611598801706,1611598741592,"dummy"
95,1611598861634,1611598801665,"dummy"
95,1611598921257,1611598861593,"dummy"
95,1611598983731,1611598921197,"dummy"
95,1611599043576,1611598983667,"dummy"
95,1611599104655,1611599043535,"dummy"
95,1611599163702,1611599104616,"dummy"
95,1611599224691,1611599163625,"dummy"
95,1611599283715,1611599224646,"dummy"
95,1611599344706,1611599283658,"dummy"
95,1611599403574,1611599344665,"dummy"
95,1611599465616,1611599403526,"dummy"
95,1611599524639,1611599465558,"dummy"
95,1611599585610,1611599524581,"dummy"
95,1611599644645,1611599585571,"dummy"
95,1611599705634,1611599644604,"dummy"
95,1611599764643,1611599705594,"dummy"
95,1611599825669,1611599764609,"dummy"
95,1611599884676,1611599825628,"dummy"
95,1611599945697,1611599884637,"dummy"
95,1611600005636,1611599945650,"dummy"
95,1611600065719,1611600005594,"dummy"
95,1611600125658,1611600065676,"dummy"
95,1611600185598,1611600125617,"dummy"
95,1611600246604,1611600185555,"dummy"
95,1611600305626,1611600246542,"dummy"
95,1611600366605,1611600305586,"dummy"
95,1611600425649,1611600366557,"dummy"
95,1611600486623,1611600425613,"dummy"
95,1611600546688,1611600486578,"dummy"
95,1611600607614,1611600546627,"dummy"
95,1611600666685,1611600607569,"dummy"
95,1611600727622,1611600666643,"dummy"
95,1611600786572,1611600727581,"dummy"
95,1611600847798,1611600786531,"dummy"
95,1611600906656,1611600847730,"dummy"
95,1611600967627,1611600906614,"dummy"
95,1611601027601,1611600967587,"dummy"
95,1611601087658,1611601027559,"dummy"
95,1611601148589,1611601087619,"dummy"
95,1611601208603,1611601148535,"dummy"
95,1611601268616,1611601208567,"dummy"
95,1611601328614,1611601268566,"dummy"
95,1611601388628,1611601328575,"dummy"
95,1611601448770,1611601388588,"dummy"
95,1611601508832,1611601448710,"dummy"
95,1611601569598,1611601508639,"dummy"
95,1611601628577,1611601569558,"dummy"
95,1611601690712,1611601628537,"dummy"
95,1611601750776,1611601690627,"dummy"
95,1611601810699,1611601750560,"dummy"
95,1611601870599,1611601810653,"dummy"
95,1611601930736,1611601870565,"dummy"
95,1611601990636,1611601930661,"dummy"
95,1611602050587,1611601990595,"dummy"
95,1611602110658,1611602050541,"dummy"
95,1611602170632,1611602110617,"dummy"
95,1611602230675,1611602170555,"dummy"
95,1611602290613,1611602230635,"dummy"
95,1611602350563,1611602290573,"dummy"
95,1611602410634,1611602350522,"dummy"
95,1611602471687,1611602410596,"dummy"
95,1611602530696,1611602471634,"dummy"
95,1611602591704,1611602530656,"dummy"
95,1611602651558,1611602591660,"dummy"
95,1611602712621,1611602651525,"dummy"
95,1611602771586,1611602712570,"dummy"
95,1611602832584,1611602771537,"dummy"
95,1611602891605,1611602832544,"dummy"
95,1611602952603,1611602891561,"dummy"
95,1611603011617,1611602952563,"dummy"
95,1611603072626,1611603011578,"dummy"
95,1611603131645,1611603072588,"dummy"
95,1611603192678,1611603131606,"dummy"
95,1611603251670,1611603192608,"dummy"
95,1611603312671,1611603251628,"dummy"
95,1611603371693,1611603312628,"dummy"
95,1611603432725,1611603371653,"dummy"
95,1611603491594,1611603432686,"dummy"
95,1611603552717,1611603491554,"dummy"
94,1611603612619,1611603552677,"dummy"
94,1611603672638,1611603612558,"dummy"
94,1611603732600,1611603672548,"dummy"
94,1611603792606,1611603732548,"dummy"
94,1611603852608,1611603792568,"dummy"
94,1611603912664,1611603852568,"dummy"
94,1611603972623,1611603912587,"dummy"
94,1611604032786,1611603972584,"dummy"
94,1611604092637,1611604032633,"dummy"
94,1611604152694,1611604092606,"dummy"
94,1611604212670,1611604152651,"dummy"
94,1611604272707,1611604212626,"dummy"
94,1611604332699,1611604272667,"dummy"
94,1611604392569,1611604332647,"dummy"
94,1611604453576,1611604392530,"dummy"
94,1611604512593,1611604453537,"dummy"
94,1611604573593,1611604512554,"dummy"
94,1611604632609,1611604573541,"dummy"
94,1611604693596,1611604632568,"dummy"
94,1611604752620,1611604693557,"dummy"
94,1611604813610,1611604752586,"dummy"
94,1611604872645,1611604813571,"dummy"
94,1611604933627,1611604872605,"dummy"
94,1611604992669,1611604933587,"dummy"
94,1611605053652,1611604992623,"dummy"
94,1611605113609,1611605053609,"dummy"
94,1611605173674,1611605113570,"dummy"
94,1611605233616,1611605173631,"dummy"
94,1611605293935,1611605233579,"dummy"
94,1611605353708,1611605293725,"dummy"
94,1611605413584,1611605353656,"dummy"
94,1611605474605,1611605413542,"dummy"
94,1611605533640,1611605474557,"dummy"
94,1611605595692,1611605533575,"dummy"
94,1611605654569,1611605595634,"dummy"
94,1611605715695,1611605654527,"dummy"
94,1611605774737,1611605715650,"dummy"
94,1611605835714,1611605774669,"dummy"
94,1611605894585,1611605835675,"dummy"
94,1611605956581,1611605894546,"dummy"
94,1611606015602,1611605956541,"dummy"
94,1611606077583,1611606015531,"dummy"
94,1611606136645,1611606077543,"dummy"
94,1611606197592,1611606136601,"dummy"
94,1611606256662,1611606197555,"dummy"
94,1611606318601,1611606256615,"dummy"
94,1611606377608,1611606318544,"dummy"
94,1611606438594,1611606377562,"dummy"
94,1611606497616,1611606438556,"dummy"
94,1611606558617,1611606497578,"dummy"
94,1611606617633,1611606558576,"dummy"
94,1611606678630,1611606617594,"dummy"
94,1611606737654,1611606678591,"dummy"
94,1611606798649,1611606737613,"dummy"
94,1611606857677,1611606798609,"dummy"
94,1611606918669,1611606857632,"dummy"
94,1611606977687,1611606918626,"dummy"
94,1611607038727,1611606977652,"dummy"
94,1611607097708,1611607038659,"dummy"
94,1611607158565,1611607097666,"dummy"
94,1611607218601,1611607158527,"dummy"
94,1611607278590,1611607218550,"dummy"
94,1611607338606,1611607278544,"dummy"
94,1611607398594,1611607338567,"dummy"
94,1611607458632,1611607398557,"dummy"
94,1611607518618,1611607458588,"dummy"
94,1611607578647,1611607518579,"dummy"
94,1611607638634,1611607578607,"dummy"
94,1611607698672,1611607638593,"dummy"
94,1611607758659,1611607698626,"dummy"
94,1611607818668,1611607758611,"dummy"
94,1611607879583,1611607818628,"dummy"
94,1611607938695,1611607879540,"dummy"
94,1611607999600,1611607938654,"dummy"
94,1611608059585,1611607999560,"dummy"
94,1611608120597,1611608059546,"dummy"
94,1611608179633,1611608120547,"dummy"
94,1611608240591,1611608179575,"dummy"
94,1611608299672,1611608240552,"dummy"
94,1611608360609,1611608299594,"dummy"
94,1611608419649,1611608360569,"dummy"
94,1611608480621,1611608419613,"dummy"
94,1611608539710,1611608480580,"dummy"
94,1611608600638,1611608539630,"dummy"
94,1611608659694,1611608600598,"dummy"
94,1611608720657,1611608659654,"dummy"
94,1611608779709,1611608720616,"dummy"
94,1611608840670,1611608779670,"dummy"
94,1611608899587,1611608840622,"dummy"
94,1611608961587,1611608899549,"dummy"
94,1611609021609,1611608961546,"dummy"
94,1611609081612,1611609021561,"dummy"
94,1611609141603,1611609081560,"dummy"
94,1611609201626,1611609141561,"dummy"
94,1611609261623,1611609201586,"dummy"
94,1611609321640,1611609261583,"dummy"
94,1611609381649,1611609321600,"dummy"
94,1611609441666,1611609381600,"dummy"
94,1611609501667,1611609441618,"dummy"
94,1611609561681,1611609501619,"dummy"
94,1611609621697,1611609561635,"dummy"
94,1611609681688,1611609621652,"dummy"
94,1611609741564,1611609681639,"dummy"
94,1611609801709,1611609741524,"dummy"
94,1611609861564,1611609801669,"dummy"
94,1611609921576,1611609861531,"dummy"
94,1611609982601,1611609921536,"dummy"
94,1611610041615,1611609982556,"dummy"
94,1611610102606,1611610041573,"dummy"
94,1611610162580,1611610102566,"dummy"
94,1611610222614,1611610162535,"dummy"
94,1611610283584,1611610222573,"dummy"
94,1611610342635,1611610283544,"dummy"
94,1611610403599,1611610342595,"dummy"
94,1611610462661,1611610403560,"dummy"
94,1611610523732,1611610462615,"dummy"
94,1611610583585,1611610523692,"dummy"
94,1611610644561,1611610583544,"dummy"
94,1611610703599,1611610644526,"dummy"
94,1611610764581,1611610703559,"dummy"
94,1611610823617,1611610764541,"dummy"
94,1611610884594,1611610823577,"dummy"
94,1611610943636,1611610884548,"dummy"
94,1611611004605,1611610943595,"dummy"
94,1611611063663,1611611004566,"dummy"
94,1611611124625,1611611063615,"dummy"
94,1611611183689,1611611124587,"dummy"
94,1611611244645,1611611183633,"dummy"
94,1611611303688,1611611244603,"dummy"
94,1611611364675,1611611303654,"dummy"
93,1611611423714,1611611364627,"dummy"
93,1611611484692,1611611423674,"dummy"
93,1611611543585,1611611484651,"dummy"
93,1611611605587,1611611543544,"dummy"
93,1611611664605,1611611605545,"dummy"
93,1611611726325,1611611664566,"dummy"
93,1611611784839,1611611725747,"dummy"
93,1611611845633,1611611784779,"dummy"
93,1611611905767,1611611845593,"dummy"
93,1611611965669,1611611905568,"dummy"
93,1611612026611,1611611965622,"dummy"
93,1611612085675,1611612026555,"dummy"
93,1611612146610,1611612085640,"dummy"
93,1611612205562,1611612146569,"dummy"
93,1611612267568,1611612205522,"dummy"
93,1611612326612,1611612267526,"dummy"
93,1611612387604,1611612326546,"dummy"
93,1611612446611,1611612387543,"dummy"
93,1611612507598,1611612446566,"dummy"
93,1611612566620,1611612507558,"dummy"
93,1611612627629,1611612566578,"dummy"
93,1611612686851,1611612627590,"dummy"
93,1611612747643,1611612686603,"dummy"
93,1611612806677,1611612747609,"dummy"
93,1611612867674,1611612806627,"dummy"
93,1611612926695,1611612867629,"dummy"
93,1611612987698,1611612926647,"dummy"
93,1611613046565,1611612987653,"dummy"
93,1611613108582,1611613046526,"dummy"
93,1611613167594,1611613108540,"dummy"
93,1611613228611,1611613167556,"dummy"
93,1611613287631,1611613228572,"dummy"
93,1611613348622,1611613287592,"dummy"
93,1611613407690,1611613348582,"dummy"
93,1611613468674,1611613407613,"dummy"
93,1611613527670,1611613468605,"dummy"
93,1611613588668,1611613527631,"dummy"
93,1611613663595,1611613588621,"dummy"
93,1611613711843,1611613647621,"dummy"
93,1611613770653,1611613711772,"dummy"
93,1611613831847,1611613770611,"dummy"
93,1611613890882,1611613831787,"dummy"
93,1611613951681,1611613890801,"dummy"
93,1611614011616,1611613951639,"dummy"
93,1611614072700,1611614011569,"dummy"
93,1611614131636,1611614072586,"dummy"
93,1611614192630,1611614131594,"dummy"
93,1611614251658,1611614192589,"dummy"
93,1611614313616,1611614251611,"dummy"
93,1611614373696,1611614313529,"dummy"
93,1611614433775,1611614373636,"dummy"
93,1611614493702,1611614433679,"dummy"
93,1611614554584,1611614493651,"dummy"
93,1611614613569,1611614554543,"dummy"
93,1611614675565,1611614613528,"dummy"
93,1611614734615,1611614675524,"dummy"
93,1611614795586,1611614734557,"dummy"
93,1611614854611,1611614795547,"dummy"
93,1611614916594,1611614854571,"dummy"
93,1611614975578,1611614916527,"dummy"
93,1611615036606,1611614975544,"dummy"
93,1611615095612,1611615036557,"dummy"
93,1611615156615,1611615095566,"dummy"
93,1611615215626,1611615156576,"dummy"
93,1611615277567,1611615215586,"dummy"
93,1611615336612,1611615277525,"dummy"
93,1611615397578,1611615336564,"dummy"
93,1611615456628,1611615397530,"dummy"
93,1611615517615,1611615456583,"dummy"
93,1611615576649,1611615517544,"dummy"
93,1611615638613,1611615576602,"dummy"
93,1611615697613,1611615638565,"dummy"
93,1611615758626,1611615697573,"dummy"
93,1611615817619,1611615758564,"dummy"
93,1611615878635,1611615817581,"dummy"
93,1611615937650,1611615878595,"dummy"
93,1611615998652,1611615937610,"dummy"
93,1611616057675,1611615998603,"dummy"
93,1611616118657,1611616057627,"dummy"
93,1611616177647,1611616118618,"dummy"
93,1611616238687,1611616177606,"dummy"
93,1611616297699,1611616238641,"dummy"
93,1611616358632,1611616297648,"dummy"
93,1611616418594,1611616358522,"dummy"
93,1611616478604,1611616418547,"dummy"
93,1611616538613,1611616478563,"dummy"
93,1611616598611,1611616538566,"dummy"
93,1611616658637,1611616598567,"dummy"
93,1611616718626,1611616658587,"dummy"
93,1611616778654,1611616718584,"dummy"
93,1611616838635,1611616778605,"dummy"
93,1611616899620,1611616838593,"dummy"
93,1611616958669,1611616899550,"dummy"
93,1611617019603,1611616958616,"dummy"
93,1611617078559,1611617019560,"dummy"
93,1611617140611,1611617078520,"dummy"
93,1611617199610,1611617140560,"dummy"
93,1611617260597,1611617199570,"dummy"
93,1611617319624,1611617260558,"dummy"
93,1611617380616,1611617319584,"dummy"
93,1611617439650,1611617380576,"dummy"
93,1611617500629,1611617439610,"dummy"
93,1611617559714,1611617500582,"dummy"
93,1611617620641,1611617559626,"dummy"
93,1611617679624,1611617620601,"dummy"
93,1611617741610,1611617679519,"dummy"
93,1611617800630,1611617741554,"dummy"
93,1611617861625,1611617800587,"dummy"
93,1611617920646,1611617861593,"dummy"
93,1611617981656,1611617920606,"dummy"
93,1611618040806,1611617981613,"dummy"
93,1611618101664,1611618040764,"dummy"
93,1611618160672,1611618101618,"dummy"
93,1611618221685,1611618160633,"dummy"
93,1611618281568,1611618221645,"dummy"
93,1611618342610,1611618281527,"dummy"
93,1611618401616,1611618342562,"dummy"
93,1611618462593,1611618401572,"dummy"
93,1611618521629,1611618462555,"dummy"
93,1611618582617,1611618521588,"dummy"
93,1611618641648,1611618582572,"dummy"
93,1611618702621,1611618641614,"dummy"
93,1611618762586,1611618702553,"dummy"
93,1611618822619,1611618762543,"dummy"
92,1611618882596,1611618822579,"dummy"
92,1611618942644,1611618882551,"dummy"
92,1611619002616,1611618942600,"dummy"
92,1611619063602,1611619002579,"dummy"
92,1611619123610,1611619063548,"dummy"
92,1611619183626,1611619123563,"dummy"
92,1611619243875,1611619183569,"dummy"
92,1611619304624,1611619243831,"dummy"
92,1611619364610,1611619304557,"dummy"
92,1611619424620,1611619364539,"dummy"
92,1611619484584,1611619424586,"dummy"
92,1611619544650,1611619484539,"dummy"
92,1611619604587,1611619544608,"dummy"
92,1611619664676,1611619604546,"dummy"
92,1611619724692,1611619664630,"dummy"
92,1611619784690,1611619724653,"dummy"
