battery,exec_timestamp,planning_timestamp,task,scheduler,device,day,exec_date,plan_date,step,delay,outlier
88,1585563868079,1585563807941,dummy,advanced,A1,1,2020-03-30T10:24:28Z,2020-03-30T10:23:27Z,1,0.1380000114440918,no
88,1585563931702,1585563828224,dummy,advanced,A1,1,2020-03-30T10:25:31Z,2020-03-30T10:23:48Z,2,43.4779999256134,yes
88,1585563991697,1585563931567,dummy,advanced,A1,1,2020-03-30T10:26:31Z,2020-03-30T10:25:31Z,3,0.13000011444091797,no
88,1585564051833,1585563991605,dummy,advanced,A1,1,2020-03-30T10:27:31Z,2020-03-30T10:26:31Z,4,0.22799992561340332,no
88,1585564112299,1585564051767,dummy,advanced,A1,1,2020-03-30T10:28:32Z,2020-03-30T10:27:31Z,5,0.5320000648498535,no
88,1585564172658,1585564112249,dummy,advanced,A1,1,2020-03-30T10:29:32Z,2020-03-30T10:28:32Z,6,0.4089999198913574,no
88,1585564233429,1585564172601,dummy,advanced,A1,1,2020-03-30T10:30:33Z,2020-03-30T10:29:32Z,7,0.8279998302459717,no
88,1585564294222,1585564233381,dummy,advanced,A1,1,2020-03-30T10:31:34Z,2020-03-30T10:30:33Z,8,0.8409998416900635,no
88,1585564354888,1585564294160,dummy,advanced,A1,1,2020-03-30T10:32:34Z,2020-03-30T10:31:34Z,9,0.7279999256134033,no
88,1585564415129,1585564354840,dummy,advanced,A1,1,2020-03-30T10:33:35Z,2020-03-30T10:32:34Z,10,0.2890000343322754,no
88,1585564475787,1585564415081,dummy,advanced,A1,1,2020-03-30T10:34:35Z,2020-03-30T10:33:35Z,11,0.7059998512268066,no
88,1585564535955,1585564475733,dummy,advanced,A1,1,2020-03-30T10:35:35Z,2020-03-30T10:34:35Z,12,0.2219998836517334,no
88,1585564596254,1585564535907,dummy,advanced,A1,1,2020-03-30T10:36:36Z,2020-03-30T10:35:35Z,13,0.3469998836517334,no
88,1585564657243,1585564596208,dummy,advanced,A1,1,2020-03-30T10:37:37Z,2020-03-30T10:36:36Z,14,1.0350000858306885,no
88,1585564718415,1585564657200,dummy,advanced,A1,1,2020-03-30T10:38:38Z,2020-03-30T10:37:37Z,15,1.2149999141693115,no
88,1585564779534,1585564718381,dummy,advanced,A1,1,2020-03-30T10:39:39Z,2020-03-30T10:38:38Z,16,1.1529998779296875,no
88,1585564840610,1585564779494,dummy,advanced,A1,1,2020-03-30T10:40:40Z,2020-03-30T10:39:39Z,17,1.1159999370574951,no
88,1585564900907,1585564840564,dummy,advanced,A1,1,2020-03-30T10:41:40Z,2020-03-30T10:40:40Z,18,0.3430001735687256,no
88,1585564961286,1585564900869,dummy,advanced,A1,1,2020-03-30T10:42:41Z,2020-03-30T10:41:40Z,19,0.41700005531311035,no
88,1585565021519,1585564961243,dummy,advanced,A1,1,2020-03-30T10:43:41Z,2020-03-30T10:42:41Z,20,0.2760000228881836,no
88,1585565081556,1585565021476,dummy,advanced,A1,1,2020-03-30T10:44:41Z,2020-03-30T10:43:41Z,21,0.07999992370605469,no
88,1585565142443,1585565081502,dummy,advanced,A1,1,2020-03-30T10:45:42Z,2020-03-30T10:44:41Z,22,0.9409999847412109,no
88,1585565202495,1585565142406,dummy,advanced,A1,1,2020-03-30T10:46:42Z,2020-03-30T10:45:42Z,23,0.08899998664855957,no
88,1585565263334,1585565202438,dummy,advanced,A1,1,2020-03-30T10:47:43Z,2020-03-30T10:46:42Z,24,0.8960001468658447,no
88,1585565323846,1585565263293,dummy,advanced,A1,1,2020-03-30T10:48:43Z,2020-03-30T10:47:43Z,25,0.5529999732971191,no
88,1585565384894,1585565323807,dummy,advanced,A1,1,2020-03-30T10:49:44Z,2020-03-30T10:48:43Z,26,1.0870001316070557,no
88,1585565445519,1585565384847,dummy,advanced,A1,1,2020-03-30T10:50:45Z,2020-03-30T10:49:44Z,27,0.6720001697540283,no
88,1585565505961,1585565445471,dummy,advanced,A1,1,2020-03-30T10:51:45Z,2020-03-30T10:50:45Z,28,0.49000000953674316,no
88,1585565566159,1585565505923,dummy,advanced,A1,1,2020-03-30T10:52:46Z,2020-03-30T10:51:45Z,29,0.23599982261657715,no
88,1585565626341,1585565566115,dummy,advanced,A1,1,2020-03-30T10:53:46Z,2020-03-30T10:52:46Z,30,0.22600007057189941,no
88,1585565686532,1585565626296,dummy,advanced,A1,1,2020-03-30T10:54:46Z,2020-03-30T10:53:46Z,31,0.23600006103515625,no
88,1585565746700,1585565686492,dummy,advanced,A1,1,2020-03-30T10:55:46Z,2020-03-30T10:54:46Z,32,0.20799994468688965,no
88,1585565807172,1585565746667,dummy,advanced,A1,1,2020-03-30T10:56:47Z,2020-03-30T10:55:46Z,33,0.5049998760223389,no
88,1585565868262,1585565807132,dummy,advanced,A1,1,2020-03-30T10:57:48Z,2020-03-30T10:56:47Z,34,1.130000114440918,no
88,1585565928781,1585565868224,dummy,advanced,A1,1,2020-03-30T10:58:48Z,2020-03-30T10:57:48Z,35,0.556999921798706,no
88,1585565989010,1585565928739,dummy,advanced,A1,1,2020-03-30T10:59:49Z,2020-03-30T10:58:48Z,36,0.2709999084472656,no
88,1585566049076,1585565988970,dummy,advanced,A1,1,2020-03-30T11:00:49Z,2020-03-30T10:59:48Z,37,0.10599994659423828,no
88,1585566109923,1585566049004,dummy,advanced,A1,1,2020-03-30T11:01:49Z,2020-03-30T11:00:49Z,38,0.9190001487731934,no
88,1585566171081,1585566109886,dummy,advanced,A1,1,2020-03-30T11:02:51Z,2020-03-30T11:01:49Z,39,1.195000171661377,no
88,1585566231294,1585566171038,dummy,advanced,A1,1,2020-03-30T11:03:51Z,2020-03-30T11:02:51Z,40,0.2559998035430908,no
88,1585566291455,1585566231250,dummy,advanced,A1,1,2020-03-30T11:04:51Z,2020-03-30T11:03:51Z,41,0.2049999237060547,no
88,1585566351731,1585566291414,dummy,advanced,A1,1,2020-03-30T11:05:51Z,2020-03-30T11:04:51Z,42,0.3169999122619629,no
88,1585566412725,1585566351694,dummy,advanced,A1,1,2020-03-30T11:06:52Z,2020-03-30T11:05:51Z,43,1.0309998989105225,no
88,1585566472987,1585566412674,dummy,advanced,A1,1,2020-03-30T11:07:52Z,2020-03-30T11:06:52Z,44,0.312999963760376,no
